k_Init k_Turn N_R N_I Davg Dstd TimeAvg TimeStd AvFNR StdFNR AvFPR StdFPR
20 0 3 2 1.0 0.0 0.0018263116700290994 0.0007102526546608185 0.050666666666666665 0.07294036122954355 0.36844444444444446 0.45356290483457234
20 0 4 1 1.0 0.0 0.0018088524199811218 0.0006340138369445287 0.06433333333333334 0.07541318285384956 0.1821111111111111 0.36565143963704283
20 0 5 0 1.0 0.0 0.001845861789988703 0.0006707025306007965 0.08222222222222222 0.07555555555555556 0.0 0.0
30 0 0 5 1.0 0.0 0.0018471959498674551 0.0006359373617292448 0.0 0.0 0.9177777777777778 0.07555555555555554
30 0 1 4 1.0 0.0 0.0018404528401879362 0.0006974035433756033 0.015311111111111112 0.04529071526139645 0.733088888888889 0.37274913219960093
30 0 2 3 1.0 0.0 0.0017886415898647101 0.0007016665945778075 0.033555555555555554 0.06336996991020077 0.5513333333333332 0.45390046224875075
30 0 3 2 1.0 0.0 0.001957208250023541 0.0006125766612812301 0.051977777777777776 0.07300119735192576 0.3697555555555556 0.4552254516740599
30 0 4 1 1.0 0.0 0.0018163063700558269 0.0006640436439372014 0.06559999999999999 0.07467690406009075 0.1833777777777778 0.3683982654347176
30 0 5 0 1.0 0.0 0.0018131678899226244 0.0006467649610570778 0.08222222222222222 0.07555555555555556 0.0 0.0
35 0 0 5 1.0 0.0 0.001839895180055464 0.0006230286838007255 0.0 0.0 0.9177777777777778 0.07555555555555554
35 0 1 4 1.0 0.0 0.0018456726301701565 0.0006799086799738132 0.015066666666666667 0.045293642755623816 0.7328444444444445 0.37258358313236656
35 0 2 3 1.0 0.0 0.0019253703000504175 0.0006602249878333881 0.036066666666666664 0.06574312525670284 0.5538444444444445 0.45584141221089136
35 0 3 2 1.0 0.0 0.0018253307200029668 0.0006490057473884827 0.05146666666666667 0.07320238814157384 0.3692444444444445 0.45454280054892987
35 0 4 1 1.0 0.0 0.001740843059924373 0.0006382485271142945 0.06317777777777776 0.07485904779675626 0.18095555555555554 0.36337312116498816
35 0 5 0 1.0 0.0 0.0018028499500178442 0.0006517812999516303 0.08222222222222222 0.07555555555555556 0.0 0.0
0 1 0 5 1.0 0.0 0.0016950376400200185 0.0006369362911086439 0.0 0.0 0.9177777777777778 0.07555555555555554
0 1 1 4 1.0 0.0 0.0017918821099920023 0.0006426638956154567 0.016466666666666664 0.04676929983875542 0.7342444444444445 0.3733424727717282
0 1 2 3 1.0 0.0 0.001819421389936906 0.0006876028117019547 0.03475555555555556 0.063037923134304 0.5525333333333333 0.4550395473248777
0 1 3 2 1.0 0.0 0.0017584875099964847 0.0006212915550404095 0.04986666666666667 0.07266858305322157 0.3676444444444444 0.4525794734111197
0 1 4 1 1.0 0.0 0.0018319417499151314 0.000679370592575011 0.06595555555555555 0.07563386791185972 0.18373333333333336 0.368927157318904
0 1 5 0 1.0 0.0 0.0018752454199602653 0.0006328446016277581 0.08222222222222222 0.07555555555555556 0.0 0.0
5 1 0 5 1.0 0.0 0.0017819543401492411 0.0006148847563453457 0.0 0.0 0.9177777777777778 0.07555555555555554
5 1 1 4 1.0 0.0 0.0018409075699673848 0.0006542795032746792 0.017177777777777778 0.04883315510016773 0.7349555555555555 0.37355163657141854
5 1 2 3 1.0 0.0 0.0018540910099181928 0.0006869306461282883 0.031822222222222224 0.060835239949827494 0.5496 0.45265372588277186
5 1 3 2 1.0 0.0 0.001970449180007563 0.0006360286047770619 0.05142222222222222 0.0726207942196064 0.3692 0.45457944422412144
5 1 4 1 1.0 0.0 0.001745207600033609 0.0006890869873598712 0.06744444444444443 0.07563484401801614 0.18522222222222223 0.37193672301337216
5 1 5 0 1.0 0.0 0.0018622427099762716 0.0007288135617866593 0.08222222222222222 0.07555555555555556 0.0 0.0
10 1 0 5 1.0 0.0 0.0017699368799367222 0.0006989475865516159 0.0 0.0 0.9177777777777778 0.07555555555555554
10 1 1 4 1.0 0.0 0.0019034267600545717 0.0006650309592760783 0.012777777777777779 0.0397329045465305 0.7305555555555556 0.37165421005533067
10 1 2 3 1.0 0.0 0.0018059319900385162 0.0007039954157563215 0.03091111111111111 0.06111159191730049 0.5486888888888889 0.4517712843168912
10 1 3 2 1.0 0.0 0.0018700244801584632 0.000736780358011704 0.052422222222222224 0.07368809475513649 0.3702 0.4556786928430065
10 1 4 1 1.0 0.0 0.0018362149899439828 0.0007543499649348644 0.06755555555555555 0.07659545807377136 0.18533333333333332 0.371963359406193
10 1 5 0 1.0 0.0 0.0017648955299591762 0.0006831940387316928 0.08222222222222222 0.07555555555555556 0.0 0.0
20 1 0 5 1.0 0.0 0.0018404882099639509 0.0006782270726826558 0.0 0.0 0.9177777777777778 0.07555555555555554
20 1 1 4 1.0 0.0 0.0017956154499734112 0.0006661099264586078 0.015555555555555555 0.0457745414174223 0.7333333333333333 0.37285485210835156
20 1 2 3 1.0 0.0 0.0019016757899953517 0.0006998660872341126 0.03353333333333333 0.06239032451103771 0.5513111111111111 0.4540158364562699
20 1 3 2 1.0 0.0 0.0018170105499666534 0.0006512428116408416 0.04942222222222222 0.06982455615308493 0.36719999999999997 0.45245471719400954
20 1 4 1 1.0 0.0 0.001759796350124816 0.000644903233186755 0.06575555555555555 0.07514535379869379 0.18353333333333335 0.3686199950365427
20 1 5 0 1.0 0.0 0.0017627960701065604 0.0006978054172764717 0.08222222222222222 0.07555555555555556 0.0 0.0
30 1 0 5 1.0 0.0 0.0018043809099799546 0.0006869630968355045 0.0 0.0 0.9177777777777778 0.07555555555555554
30 1 1 4 1.0 0.0 0.001792298620021029 0.0006631355173522789 0.015533333333333333 0.04721319652306892 0.7333111111111111 0.37266043789931425
30 1 2 3 1.0 0.0 0.0017713844999889261 0.0006702043345845898 0.03386666666666667 0.06323159079189829 0.5516444444444444 0.45420397006163776
30 1 3 2 1.0 0.0 0.0017942591000428365 0.0006664229866449615 0.04964444444444444 0.0712611056971837 0.3674222222222222 0.4525171541663529
30 1 4 1 1.0 0.0 0.0017560992200924374 0.0006949838274744458 0.06444444444444444 0.0753264500296813 0.18222222222222223 0.36589818458347323
30 1 5 0 1.0 0.0 0.0016724125299151637 0.0007034651932012407 0.08222222222222222 0.07555555555555556 0.0 0.0
35 1 0 5 1.0 0.0 0.0017233068700625153 0.0006348624926930479 0.0 0.0 0.9177777777777778 0.07555555555555554
35 1 1 4 1.0 0.0 0.0018151316198964196 0.0006628457524758891 0.016666666666666666 0.046051500960780214 0.7344444444444446 0.3735650735782601
35 1 2 3 1.0 0.0 0.0016960654798276664 0.0007071820478321243 0.03284444444444445 0.06371431608417431 0.5506222222222222 0.4532002615147492
35 1 3 2 1.0 0.0 0.0016968216299392226 0.0006685418937622387 0.05155555555555555 0.07092545208235489 0.3693333333333333 0.45501680880633005
35 1 4 1 1.0 0.0 0.0017080241301118803 0.0006596543094527456 0.06608888888888889 0.07449028107953844 0.18386666666666668 0.36943060893057417
35 1 5 0 1.0 0.0 0.00177505134995954 0.0007041248389161599 0.08222222222222222 0.07555555555555556 0.0 0.0
0 3 0 5 1.0 0.0 0.00171594091993029 0.0007075175895916577 0.0 0.0 0.9177777777777778 0.07555555555555554
0 3 1 4 1.0 0.0 0.0017279985300410771 0.0006487807077293361 0.016911111111111113 0.04797828212384804 0.7346888888888888 0.37348527265327197
0 3 2 3 1.0 0.0 0.001709818909985188 0.0006503884853758999 0.0348 0.06465346944372831 0.5525777777777778 0.4548531408631652
0 3 3 2 1.0 0.0 0.0018902518301183592 0.000656103726245574 0.04902222222222222 0.06969267279976647 0.36679999999999996 0.45195868051060695
0 3 4 1 1.0 0.0 0.0017909722401418548 0.0006754934952307743 0.06371111111111111 0.0737858462790196 0.18148888888888887 0.36469883465676173
0 3 5 0 1.0 0.0 0.0017634866700791463 0.0006501136857703172 0.08222222222222222 0.07555555555555556 0.0 0.0
5 3 0 5 1.0 0.0 0.001816960050018679 0.0006285289438103106 0.0 0.0 0.9177777777777778 0.07555555555555554
5 3 1 4 1.0 0.0 0.0018063910799355654 0.0007049314211570728 0.018822222222222223 0.05056759807731273 0.7366 0.37440381645728155
5 3 2 3 1.0 0.0 0.0018654811801025063 0.0006563903249361472 0.03222222222222222 0.06243020794613399 0.55 0.452806065919322
5 3 3 2 1.0 0.0 0.0018201744099133066 0.0006550845871481664 0.05131111111111111 0.07173689582231882 0.36908888888888886 0.4545781487635908
5 3 4 1 1.0 0.0 0.0017034313100521103 0.0006815787029448905 0.06502222222222223 0.07572700808223193 0.18280000000000002 0.367002488638247
5 3 5 0 1.0 0.0 0.001772933410047699 0.0006927170298462719 0.08222222222222222 0.07555555555555556 0.0 0.0
10 3 0 5 1.0 0.0 0.0017835354199633002 0.0006958962614539613 0.0 0.0 0.9177777777777778 0.07555555555555554
10 3 1 4 1.0 0.0 0.0019061641600092117 0.0007049836134601714 0.013866666666666668 0.04363498426551627 0.7316444444444445 0.37196523400533277
10 3 2 3 1.0 0.0 0.0018225328899279703 0.0007025340173077634 0.03491111111111111 0.06460309590104796 0.5526888888888889 0.45496105327819003
10 3 3 2 1.0 0.0 0.0016964931699840235 0.000672411699109156 0.04508888888888889 0.06913096892274496 0.36286666666666667 0.44689836942261557
10 3 4 1 1.0 0.0 0.001968715429993608 0.0006298825185099841 0.06371111111111111 0.07444547594641927 0.18148888888888887 0.36456475724104526
10 3 5 0 1.0 0.0 0.001698645159976877 0.0006939813816912849 0.08222222222222222 0.07555555555555556 0.0 0.0
20 3 0 5 1.0 0.0 0.0018581175700455787 0.000669188887726362 0.0 0.0 0.9177777777777778 0.07555555555555554
20 3 1 4 1.0 0.0 0.0017914345200733806 0.0006367614802169969 0.016911111111111113 0.046710978961648365 0.7346888888888888 0.3736458870225777
20 3 2 3 1.0 0.0 0.0018429267300780338 0.0006590766368243805 0.032822222222222225 0.061955663159479334 0.5505999999999999 0.4534236135594763
20 3 3 2 1.0 0.0 0.0019062839499383699 0.0006721671235533306 0.04957777777777777 0.0708018936762863 0.36735555555555555 0.4525033464169282
20 3 4 1 1.0 0.0 0.001693446809949819 0.0006783138865289988 0.06446666666666667 0.07360790013961112 0.18224444444444446 0.3662934794484059
20 3 5 0 1.0 0.0 0.0017540970700247272 0.000636991841312554 0.08222222222222222 0.07555555555555556 0.0 0.0
30 3 0 5 1.0 0.0 0.0017636978598602581 0.0007168859844823899 0.0 0.0 0.9177777777777778 0.07555555555555554
30 3 1 4 1.0 0.0 0.0019060961799914366 0.0006673003662578636 0.017444444444444443 0.04949261074664095 0.7352222222222222 0.37364158900882144
30 3 2 3 1.0 0.0 0.0017569395799546328 0.0006843278541759716 0.033333333333333326 0.062337195364612984 0.5511111111111111 0.4538401306600496
30 3 3 2 1.0 0.0 0.0018572613400283445 0.000714731445387311 0.047288888888888894 0.07011319243256879 0.36506666666666665 0.44964063346105554
30 3 4 1 1.0 0.0 0.0017430957900432986 0.0006756905195855979 0.06708888888888889 0.07586583023687847 0.18486666666666665 0.3711741390257159
30 3 5 0 1.0 0.0 0.0017510389900235168 0.0006620712666302151 0.08222222222222222 0.07555555555555556 0.0 0.0
35 3 0 5 1.0 0.0 0.001887994030093978 0.0006880309020886303 0.0 0.0 0.9177777777777778 0.07555555555555554
35 3 1 4 1.0 0.0 0.001806043199976557 0.0006784097680292898 0.0174 0.04981650775038777 0.7351777777777779 0.3735691127158516
35 3 2 3 1.0 0.0 0.001708062039961078 0.0006805950404592602 0.031266666666666665 0.06168758804264047 0.5490444444444444 0.45202351681421005
35 3 3 2 1.0 0.0 0.00181863574001909 0.0006779994755413685 0.05 0.07110243002567182 0.3677777777777778 0.45299960482908663
35 3 4 1 1.0 0.0 0.001844107300039468 0.0006718825930784184 0.06362222222222222 0.0754631166551491 0.1814 0.3641712600778192
35 3 5 0 1.0 0.0 0.0017232837599294726 0.0007413361248074822 0.08222222222222222 0.07555555555555556 0.0 0.0
0 5 0 5 1.0 0.0 0.0017781352400379547 0.0006938176324169071 0.0 0.0 0.9177777777777778 0.07555555555555554
0 5 1 4 1.0 0.0 0.0018099228901337482 0.000654262032316632 0.01582222222222222 0.04581258655020204 0.7336000000000001 0.37302954306596153
0 5 2 3 1.0 0.0 0.0018785635399399326 0.0006624713857298478 0.03133333333333334 0.06126203585449178 0.5491111111111111 0.4521432636501373
0 5 3 2 1.0 0.0 0.001860819079902285 0.0006282094962606152 0.049466666666666666 0.07127731964865329 0.3672444444444445 0.45228545776825724
0 5 4 1 1.0 0.0 0.0018508395198659855 0.0006736097990167151 0.0652888888888889 0.07572254748442411 0.18306666666666666 0.3675493456414818
0 5 5 0 1.0 0.0 0.0018671110699870041 0.0006671027897681376 0.08222222222222222 0.07555555555555556 0.0 0.0
5 5 0 5 1.0 0.0 0.0018150406400309293 0.0006622795650399443 0.0 0.0 0.9177777777777778 0.07555555555555554
5 5 1 4 1.0 0.0 0.0019186684798296483 0.0006669335274716697 0.017133333333333334 0.047739307509446355 0.7349111111111112 0.3736635173488721
5 5 2 3 1.0 0.0 0.0018453727000087383 0.000643832833139791 0.032044444444444445 0.060261307529667706 0.5498222222222222 0.4529357930133062
5 5 3 2 1.0 0.0 0.0018604292599775363 0.0006803857011109628 0.04817777777777778 0.07090517402632691 0.36595555555555553 0.45067520044517234
5 5 4 1 1.0 0.0 0.0017354153900487291 0.0006801915075475156 0.06659999999999999 0.0752624740491568 0.18437777777777778 0.37031004093833736
5 5 5 0 1.0 0.0 0.00172922155008564 0.0006768205700687192 0.08222222222222222 0.07555555555555556 0.0 0.0
10 5 0 5 1.0 0.0 0.0017885158299759496 0.0006596322212051325 0.0 0.0 0.9177777777777778 0.07555555555555554
10 5 1 4 1.0 0.0 0.0017444198700104607 0.0006915786862680232 0.017777777777777778 0.0494563031971247 0.7355555555555556 0.37386668251703875
10 5 2 3 1.0 0.0 0.0017895079399204406 0.0006215745353771487 0.03484444444444444 0.06439222405320785 0.5526222222222221 0.4549305066995683
10 5 3 2 1.0 0.0 0.001858048220146884 0.0007410385583595818 0.0494 0.06967923331635872 0.36717777777777777 0.4524484670198828
10 5 4 1 1.0 0.0 0.0016524973201376269 0.000653076694876238 0.06566666666666665 0.07589295580447991 0.18344444444444447 0.36828563458540614
10 5 5 0 1.0 0.0 0.0017535821800629492 0.0007179297182403525 0.08222222222222222 0.07555555555555556 0.0 0.0
20 5 0 5 1.0 0.0 0.0018405806200826192 0.0006848931051289191 0.0 0.0 0.9177777777777778 0.07555555555555554
20 5 1 4 1.0 0.0 0.0018142752900166669 0.0006574636739157067 0.014333333333333332 0.042510565135600684 0.732111111111111 0.3724138644300895
20 5 2 3 1.0 0.0 0.0018947077300254024 0.0006441425444037557 0.033355555555555555 0.06222023409522178 0.5511333333333334 0.45387652587541993
20 5 3 2 1.0 0.0 0.001818929360142647 0.0006779773475334738 0.05122222222222223 0.07110928817107882 0.369 0.4545634046960763
20 5 4 1 1.0 0.0 0.00185630042989942 0.0006211437099866649 0.06611111111111112 0.07491847420882101 0.18388888888888888 0.36938913537532925
20 5 5 0 1.0 0.0 0.0017689060699740368 0.0006534345335309436 0.08222222222222222 0.07555555555555556 0.0 0.0
30 5 0 5 1.0 0.0 0.0016584142899955623 0.000657053935562993 0.0 0.0 0.9177777777777778 0.07555555555555554
30 5 1 4 1.0 0.0 0.0017921865200150934 0.0007255971183250089 0.01611111111111111 0.046565366242877694 0.7338888888888889 0.3731301530446328
30 5 2 3 1.0 0.0 0.001855237689869682 0.0006565476006511281 0.03333333333333333 0.06329238442281919 0.5511111111111111 0.4537079062541569
30 5 3 2 1.0 0.0 0.0017322535100174718 0.0006115394351968297 0.04771111111111111 0.06928520765646878 0.36548888888888886 0.4503198813682953
30 5 4 1 1.0 0.0 0.0018393926700991869 0.000708833017983375 0.0656888888888889 0.07552307798707608 0.18346666666666664 0.3684069569456119
30 5 5 0 1.0 0.0 0.0017282700400755857 0.0006773029535518771 0.08222222222222222 0.07555555555555556 0.0 0.0
35 5 0 5 1.0 0.0 0.001777775800001109 0.0006310904380904734 0.0 0.0 0.9177777777777778 0.07555555555555554
35 5 1 4 1.0 0.0 0.0018749335999928007 0.0006962382632000736 0.01511111111111111 0.0455777723603659 0.7328888888888889 0.3725789998256895
35 5 2 3 1.0 0.0 0.0018796985501285234 0.0006644513721038474 0.03395555555555555 0.06441078047947649 0.5517333333333333 0.45411937082992065
35 5 3 2 1.0 0.0 0.0018197632999181223 0.0006793163401325908 0.050555555555555555 0.07245901353161875 0.3683333333333333 0.4534977234619654
35 5 4 1 1.0 0.0 0.0017663022599663236 0.0006631223935277173 0.06515555555555556 0.0752686579141513 0.1829333333333333 0.36736981468370633
35 5 5 0 1.0 0.0 0.0017884607999985747 0.0006490123107144465 0.08222222222222222 0.07555555555555556 0.0 0.0
